all_fd601ea4e86b84c636ab557a9002657928071086f3c592fa5d1a6c7759efa03c,,,,,,,,,,
platform,Tweet,Sentiment,,,,,,,,
twitter,"Who do you think you are? You're unelected, and have no authority to determine EU foreign policy, which is set by @EUCouncil. Europe does NOT ""stand with Israel."" We stand for peace. You do not speak for us. If you've nothing constructive to say, and you clearly don't, shut up.",0,,,,,,,,
twitter,"What I think every time someone gets angry at what Gaza did in retaliation.

Quit being hypocrites. 

#Gaza #Israel #Palestine https://t.co/3Fy9OaD0ek",-1,,,,,,,,
twitter,"Breaking News Israel: US weapons left behind in Afghanistan used to attack Israel.

A high-ranking Israel Defense Forces (IDF) commander said US weapons left in Afghanistan by the Biden administration were found in the hands of Palestinian groups active in the Gaza Strip.

The… https://t.co/AHCYpEIkcO",0,,,,,,,,
twitter,"This might be one of the most important documentaries that anyone can watch right now given current events and escalations between Hamas, Israel, Iran, and the US. 

All wars are bankers wars.

If you are still caught up in the left vs right, Israel vs Palestine, Ukraine vs… https://t.co/1X7oWbwsY5",0,,,,,,,,
twitter,"Share this. 

#Israel_under_attack https://t.co/3oCGHGfN3G",1,,,,,,,,
twitter,"Israel has been terrorizing Palestinians every single Ramadan, Eid, and Christmas for the past 70 years please shut up",1,,,,,,,,
twitter,"🔥🚨DEVELOPING: Middle East Monitor reported that Joe Biden approved the release of $75 million dollar aid to Palestine just hours before the attack on Israel. 

In a quiet move bypassing Republican obstructionism, US Secretary of State Antony Blinken has approved the release of… https://t.co/lYrPwH7enw",0,,,,,,,,
twitter,"🇳🇱 This was Rotterdam today. 

Muslim communities all over Europe are coming out in support of Hamas’ efforts to wage their bloody jihad against Israel and its citizens.

Everyone with a sense of reality can see it coming from miles away: the Muslim
fighting-aged males throughout… https://t.co/ztyinoLHMC",-1,,,,,,,,
twitter,"Remember when Obama sent pallets of cash to terrorist central, his beloved Iran? And now his proxy puppet, Biden, stacked off another 6 billion just weeks ago. Those American taxpayer dollars bought the rockets we witnessed killing innocent Israeli civilians yesterday. #Israel",1,,,,,,,,
twitter,Hamas is claiming Ukraine sold them the weapons they used in the attack today against Israel.  https://t.co/SZ9vAAQIhF,0,,,,,,,,
twitter,"What does Israel's occupation of Palestinians look like?

This former Israeli soldier told @dena how the Israeli army controls every aspect of Palestinians' lives. https://t.co/51jYryt9wL",-1,,,,,,,,
twitter,,,,,,,,,,
twitter,"🚨BREAKING: Minister of Defence of Israel: ""The rules of war have changed, we will cripple Gaza so that it will remember it for the next 50 years."" https://t.co/1stWmfkE5c",1,,,,,,,,
