platform,text,user_id,total_interactions_count,statistics,username,user_description,created_at,profile_url,post_url,media_url
twitter,"The human cost of the Israeli-Palestinian Conflict (deaths/injuries): documented by the UN:

2008:
Palestine 🇵🇸: 3,202
Israel 🇮🇱: 853

2009:
Palestine 🇵🇸: 7,460
Israel 🇮🇱: 123

2010:
Palestine 🇵🇸: 1,659
Israel 🇮🇱: 185

2011:
Palestine 🇵🇸: 2,260
Israel 🇮🇱: 136

2012:
Palestine 🇵🇸:…",1589573050277978112,136622,"{'quote_count': 3309, 'retweet_count': 36173, 'like_count': 97140}",TheGlobal_Index,"📊 Information on World Statistics: Economy, Science & Education, Travel, Arts, Tech, Demography, Geography, Politics, Military, Maps, Sports & more.",2023-10-07 17:29:57,https://pbs.twimg.com/profile_images/1593968346533445632/Y6DVzeqm_normal.jpg,https://twitter.com/TheGlobal_Index/status/1710709056854430206,
twitter,It's completely okay not to have an opinion on an international conflict because you may not be the most informed and just listen,366863067,49740,"{'quote_count': 874, 'retweet_count': 7196, 'like_count': 41670}",BrandonLBradfor,"Poli Consultant, GhostWriter,  good Ramen savant, Military Brat, Activist, Columnist, Renewable Energy Exec. 
https://t.co/6vfQo7QnfJ",2023-10-07 15:53:22,https://pbs.twimg.com/profile_images/1355706899409162242/ngPHRMXm_normal.jpg,https://twitter.com/BrandonLBradfor/status/1710684753513595122,
twitter,"Has the GOP suggested giving part of Israel away to stop the conflict yet? 

Or does that only apply when they can carry Putin’s water?",848148994102611969,29752,"{'quote_count': 156, 'retweet_count': 5684, 'like_count': 23912}",Angry_Staffer,"Not a current WH Staffer | Politics, NatSec, and Snark — Mileage may vary | Views mine | https://t.co/Kj4zTIdnnS",2023-10-07 13:21:11,https://pbs.twimg.com/profile_images/1352160680783323136/D8xnchE__normal.jpg,https://twitter.com/Angry_Staffer/status/1710646453327003674,
twitter,"The siege is the provocation. Forcing people to live in an open-air prison is an escalation. Occupation, colonization, and land-theft are the root cause of the ‘conflict.’ Everything else is retaliation.",1328835121970110472,18068,"{'quote_count': 87, 'retweet_count': 4362, 'like_count': 13619}",m7mdkurd,"Writer from occupied Jerusalem. Palestine Correspondent at The Nation. Culture Editor at Mondoweiss. Author of RIFQA (poems, Haymarket). Working on a new book.",2023-10-07 11:45:25,https://pbs.twimg.com/profile_images/1721655484225052672/dcdsool0_normal.jpg,https://twitter.com/m7mdkurd/status/1710622352185127387,
twitter,"Clashes between Hamas and Israel on the 50th anniversary of the Yom Kippur War come as an expected development. This is what Washington and its allies should be busy with. The conflict between Israel and Palestine has been going on for decades, with the US the key player in it.…",153810519,17836,"{'quote_count': 513, 'retweet_count': 3528, 'like_count': 13795}",MedvedevRussiaE,"Deputy Chair of the Security Council of the Russian Federation. The third President of Russia, 2008-2012. For tweets in Russian, follow @MedvedevRussia",2023-10-07 09:28:16,https://pbs.twimg.com/profile_images/2348669225/5sfntu2zxyvans8vf9n8_normal.png,https://twitter.com/MedvedevRussiaE/status/1710587836922053105,
twitter,"The Deep State loves war.

They crave war.

That’s why they create war.

They are flush with Boeing and Raytheon stocks.

Their million dollar mansions are paid by the bloodshed of innocent civilians all around the world.

Of course there’s a conflict in Israel today.

Of course…",46302096,17016,"{'quote_count': 90, 'retweet_count': 3323, 'like_count': 13603}",JoeyMannarinoUS,I help conservative candidates raise the money they need to win elections | Social Media Strategist | Podcast Host: “The Joey Mannarino Show” | Italian-American,2023-10-07 13:00:05,https://pbs.twimg.com/profile_images/1720978016682033152/fhfcqIyU_normal.jpg,https://twitter.com/JoeyMannarinoUS/status/1710641143870800275,
twitter,"I have worked on the Israeli-Palestinian conflict for nearly twenty years. 

Honestly I have no f'ing clue what's going on. What this means. Or where this heads. Literally anything is possible.",328679480,22576,"{'quote_count': 400, 'retweet_count': 3194, 'like_count': 18982}",MikeRStephens,"Senior Fellow @FPRI Associate Fellow @RUSI_Org & @WeAreBrightBlue Views my own, RTs not endorsements....Fulham FC",2023-10-07 08:53:41,https://pbs.twimg.com/profile_images/1572512279127531520/j5aX-slB_normal.jpg,https://twitter.com/MikeRStephens/status/1710579136639414774,
twitter,"In an act of traditional cowardice, Israel attacks the already besieged Gaza, a heavily populated civilian area showing no regard for innocent life. 

Pro-Israel activists urge on whilst also playing the victim card. 

Occupation creates conflict. Who is the occupied here?… https://t.co/jTr7H7Aq2n",946073731809595392,8836,"{'quote_count': 126, 'retweet_count': 2597, 'like_count': 6113}",Bob_cart124,"Journalist @5Pillarsuk. Views shared are my own. Good, bad or ugly, if it's true I retweet: Muslim World news focus.",2023-10-07 21:15:13,https://pbs.twimg.com/profile_images/1572709934973812736/9-e3UePp_normal.jpg,https://twitter.com/Bob_cart124/status/1710765748207964381,https://pbs.twimg.com/ext_tw_video_thumb/1710765713051226112/pu/img/J5bInMVVNlkG9FIP.jpg
twitter,TONIGHT: Hundreds of thousands of Israelis are being called up. Israel is bracing for the possibility of a multi-front conflict.,47233194,12774,"{'quote_count': 103, 'retweet_count': 2175, 'like_count': 10496}",TreyYingst,Foreign Correspondent: @FoxNews #FreeEvanGershkovich,2023-10-07 21:18:00,https://pbs.twimg.com/profile_images/1579600791563915266/37IUz2a3_normal.jpg,https://twitter.com/TreyYingst/status/1710766450330239069,
twitter,"The amount of flat-out misinformation on this app today is staggering. 

Shoutout to those of you who are fact checking inaccurate videos (some not even from the same conflict), baseless lies, etc.",848148994102611969,15734,"{'quote_count': 41, 'retweet_count': 2149, 'like_count': 13544}",Angry_Staffer,"Not a current WH Staffer | Politics, NatSec, and Snark — Mileage may vary | Views mine | https://t.co/Kj4zTIdnnS",2023-10-07 21:44:39,https://pbs.twimg.com/profile_images/1352160680783323136/D8xnchE__normal.jpg,https://twitter.com/Angry_Staffer/status/1710773155814379540,
