platform,text,user_id,total_interactions_count,statistics,username,user_description,created_at,profile_url,post_url,media_url
twitter,"Noa was partying in the south of Israel in a peace music festival when Hams terrorists kidnapped her and dragged her from Israel into Gaza.

Noa is held hostage by Hamas.

She could be your daughter, sister, friend.

#BringBackOurFamily https://t.co/gi2AStVdTQ",1686270312,101345,"{'quote_count': 3889, 'retweet_count': 25786, 'like_count': 71670}",HenMazzig,Israeli. Author: The Wrong Kind of Jew. Son of Amazigh+Iraqi Jewish refugees. Founder: @TLVinstitute Seen: @latimes @NBC @newsweek @BBC & more,2023-10-07 18:10:07,https://pbs.twimg.com/profile_images/1580641988109639681/Tyi1pEra_normal.jpg,https://twitter.com/HenMazzig/status/1710719164099318078,https://pbs.twimg.com/media/F72x543W8AAqsHC.jpg
twitter,"NEW: Israel PM Benjamin Netanyahu tells Gaza residents to “GET OUT NOW” as he vows to use all IDF capabilities to destroy Hamas.

“We will win this war, but the price will be unbearably heavy. Hamas wants to murder us all,” Netanyahu said.

“Murdering children and mothers in… https://t.co/jnyAeRklbf",890061634181373952,109220,"{'quote_count': 2451, 'retweet_count': 21882, 'like_count': 84887}",CollinRugg,Co-Owner of Trending Politics | Investor | American 🇺🇸,2023-10-07 20:10:51,https://pbs.twimg.com/profile_images/1325087660428447746/4DL2iq76_normal.jpg,https://twitter.com/CollinRugg/status/1710749548027773236,https://pbs.twimg.com/amplify_video_thumb/1710749355689607168/img/Mi3O1q6x9A4ptxo2.jpg
twitter,"A 50th Anniversary War?

Why did Hamas stage a long-planned, carefully executed and multifaceted attack on Israeli towns, soldiers, and civilians—one designed to instill terror by executing noncombatants, taking hostages, and desecrating the bodies of the dead?

And how were the…",139550237,72147,"{'quote_count': 2051, 'retweet_count': 20400, 'like_count': 49696}",VDHanson,Senior Fellow @HooverInst. Classics and military history. Opinions are my own.,2023-10-07 19:37:01,https://pbs.twimg.com/profile_images/1404922560681185284/LSf_S-st_normal.jpg,https://twitter.com/VDHanson/status/1710741034320417027,
twitter,"Netanyahu nurtured a zillion-dollar industry selling spying tools to despots that use them to break into the iPhones of critics, elected opponents, human rights lawyers, and even students (these are all real examples).

Turns out they're not very useful for spying on Hamas, tho.…",2916305152,67414,"{'quote_count': 1062, 'retweet_count': 15491, 'like_count': 50861}",Snowden,"You can find me on #nostr @ pubkey: #npub1sn0wdenkukak0d9dfczzeacvhkrgz92ak56egt7vdgzn8pv2wfqqhrjdv9. (use Damus on iOS, Amethyst on Android, or https://t.co/66a4BUhQlG)",2023-10-07 20:14:20,https://pbs.twimg.com/profile_images/648888480974508032/66_cUYfj_normal.jpg,https://twitter.com/Snowden/status/1710750427405336661,
twitter,"The world is seeing appalling images. 

Thousands of rockets raining down on Israeli cities. Hamas terrorists killing not only Israeli soldiers, but civilians on the streets and in their homes.

It’s unconscionable. Israel has a right to defend itself – full stop.",1349149096909668363,116857,"{'quote_count': 3414, 'retweet_count': 14893, 'like_count': 98550}",POTUS,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU Text me: (302) 404-0880",2023-10-07 21:00:03,https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1710761931399709074,
twitter,"🇮🇱 | Esta es la triste lista de inocentes mujeres israelíes que han sido secuestradas por los terroristas de Hamas en las últimas 24 horas. Sus familiares en Israel piden difundir. Ahora mismo son rehenes de un grupo de salvajes.

Pueden ser tus hijas, tus hermanas, tus amigas. https://t.co/nkiSI6UgAR",374699026,25386,"{'quote_count': 393, 'retweet_count': 11192, 'like_count': 13801}",agusantonetti,Relaciones Internacionales | Latin America Watch - @FundLibertadRos 🇦🇷 & @FundacionFIL 🇪🇸 | 22,2023-10-07 19:44:01,https://pbs.twimg.com/profile_images/1472953490515410955/nE499_cU_normal.jpg,https://twitter.com/agusantonetti/status/1710742797207187928,https://pbs.twimg.com/media/F73HgR7XAAAb6IB.jpg
twitter,"Hamas seems to have kidnapped mostly women.

It has already been confirmed that Hamas fighters are using rape as a weapon of war.

There must be no mercy for these barbarians.",737387991820296192,36500,"{'quote_count': 568, 'retweet_count': 11025, 'like_count': 24907}",IsraelWarRoom,Israel’s enemies do not sleep. Neither do we.,2023-10-07 19:48:48,https://pbs.twimg.com/profile_images/1349024100094775299/gn48j-YM_normal.jpg,https://twitter.com/IsraelWarRoom/status/1710743998732640368,
twitter,"🚨BREAKING: Donald Trump reacts to Hamas’ attack on Israel: “The Israeli attack was made because we are perceived as being weak and ineffective and with a really weak leader.”

 https://t.co/xbKawSW8Tg",15212187,55749,"{'quote_count': 331, 'retweet_count': 10449, 'like_count': 44969}",bennyjohnson,i make videos,2023-10-07 19:14:37,https://pbs.twimg.com/profile_images/1628474658583457793/KRPfh8Zb_normal.jpg,https://twitter.com/bennyjohnson/status/1710735400229118272,https://pbs.twimg.com/amplify_video_thumb/1710735064646942720/img/tvpnFAsSDoxGCm3t.jpg
twitter,"Pra mídia, o Hamas são meros combatentes. Mas o dia 08 é terrorismo. Essa rotulação não passa de pura perseguição e ativismo judicial contra baderneiros. Mesmo com a discrepância visível do que é e não é terrorismo, a esquerda continua sustentando essa falsa narrativa e… https://t.co/Xs02RyCNW1",758264276,52636,"{'quote_count': 281, 'retweet_count': 9889, 'like_count': 42466}",nikolas_dm,- Dep. Federal mais votado do Brasil e da história de Minas Gerais. 🔺🇧🇷,2023-10-07 19:23:48,https://pbs.twimg.com/profile_images/1601012054315376642/_oRrrjP0_normal.jpg,https://twitter.com/nikolas_dm/status/1710737711210823796,https://pbs.twimg.com/media/F73C4NoWUAA07b2.jpg
twitter,"Today, Hamas terrorists have struck at the heart of Israel capturing and killing innocent women and children. 

Israel has the right to defend itself - today and in the days to come.

The European Union stands with Israel. https://t.co/qTngixfu78",1146329871418843136,75071,"{'quote_count': 3528, 'retweet_count': 9850, 'like_count': 61693}",vonderleyen,President of the @EU_Commission. Mother of seven. Brussels-born. European by heart. 🇪🇺,2023-10-07 22:01:46,https://pbs.twimg.com/profile_images/1151477036545925121/sUDOL-vE_normal.png,https://twitter.com/vonderleyen/status/1710777462391443590,https://pbs.twimg.com/media/F73nB9JWQAA7gIm.jpg
