platform,text,user_id,total_interactions_count,statistics,username,user_description,created_at,profile_url,post_url,media_url
twitter,"I’m a Jewish guy who had my Bar Mitzvah in Jerusalem and went on Birthright. 

I lived in Palestine for 3 years, including 7 months in Gaza. 

I 100% support Palestinian resistance. 

No one can defeat me in a debate on Zionism and Palestinian resistance.",386213011,196922,"{'quote_count': 1724, 'retweet_count': 40504, 'like_count': 154694}",dancohen3000,"Journalist: @UncapturedNews

Filmmaker: @KillingGaza, Gaza Fights Back, Another Vision: Inside Haiti's Uprising",2023-10-07 20:37:58,https://pbs.twimg.com/profile_images/1717176197635809280/AYyNFlNG_normal.jpg,https://twitter.com/dancohen3000/status/1710756373628162283,
twitter,"Chairman Imran Khan has been and will always remain an advocate for the Palestinian cause. He has consistently maintained his stance that oppression, occupation, and peace cannot go hand in hand. 
From the first Nakba in 1948, to inhumane treatment and the siege of Gaza,…",122453931,136977,"{'quote_count': 888, 'retweet_count': 36279, 'like_count': 99810}",ImranKhanPTI,Chairman Pakistan Tehreek-e-Insaf & former Prime Minister of Islamic Republic of Pakistan,2023-10-07 18:20:14,https://pbs.twimg.com/profile_images/1548735070030204929/SE6zZzFV_normal.jpg,https://twitter.com/ImranKhanPTI/status/1710721711484600822,
twitter,"Noa was partying in the south of Israel in a peace music festival when Hams terrorists kidnapped her and dragged her from Israel into Gaza.

Noa is held hostage by Hamas.

She could be your daughter, sister, friend.

#BringBackOurFamily https://t.co/gi2AStVdTQ",1686270312,101345,"{'quote_count': 3889, 'retweet_count': 25786, 'like_count': 71670}",HenMazzig,Israeli. Author: The Wrong Kind of Jew. Son of Amazigh+Iraqi Jewish refugees. Founder: @TLVinstitute Seen: @latimes @NBC @newsweek @BBC & more,2023-10-07 18:10:07,https://pbs.twimg.com/profile_images/1580641988109639681/Tyi1pEra_normal.jpg,https://twitter.com/HenMazzig/status/1710719164099318078,https://pbs.twimg.com/media/F72x543W8AAqsHC.jpg
twitter,"NEW: Israel PM Benjamin Netanyahu tells Gaza residents to “GET OUT NOW” as he vows to use all IDF capabilities to destroy Hamas.

“We will win this war, but the price will be unbearably heavy. Hamas wants to murder us all,” Netanyahu said.

“Murdering children and mothers in… https://t.co/jnyAeRklbf",890061634181373952,109220,"{'quote_count': 2451, 'retweet_count': 21882, 'like_count': 84887}",CollinRugg,Co-Owner of Trending Politics | Investor | American 🇺🇸,2023-10-07 20:10:51,https://pbs.twimg.com/profile_images/1325087660428447746/4DL2iq76_normal.jpg,https://twitter.com/CollinRugg/status/1710749548027773236,https://pbs.twimg.com/amplify_video_thumb/1710749355689607168/img/Mi3O1q6x9A4ptxo2.jpg
twitter,"BREAKING:

The woman whose body was seen on video in the back of a pick-up truck driven by Palestinian terrorists to Gaza has been identified. 

30-year-old Shani Louk was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence. https://t.co/sPIc8FRs8K",1222773302441148416,89379,"{'quote_count': 4571, 'retweet_count': 19904, 'like_count': 64904}",visegrad24,"Aggregating and curating news, politics and current affairs.",2023-10-07 20:42:06,https://pbs.twimg.com/profile_images/1496244011044155402/2l00Uki5_normal.jpg,https://twitter.com/visegrad24/status/1710757415388414307,https://pbs.twimg.com/media/F73TzepW0AA6luF.jpg
twitter,"AHORA: GAZA: Un misil de 100.000 dólares, lanzado por un avión de 20.000.000 de dólares, que viaja a un costo de 6.000 dólares por hora, para matar personas que viven con menos de 1 dólar por día en la Franja de Gaza. https://t.co/2SufKsCzmw",1258174836175704064,58415,"{'quote_count': 1239, 'retweet_count': 19287, 'like_count': 37889}",HoyPalestina,"Sitio web dedicado a informar sobre Palestina 🇵🇸 rompiendo el cerco mediático y la censura informativa impuestas sobre ella.
cuenta de respaldo @hoypalestina1",2023-10-07 15:55:45,https://pbs.twimg.com/profile_images/1577519809587298304/KaFlmD0v_normal.jpg,https://twitter.com/HoyPalestina/status/1710685352879444221,https://pbs.twimg.com/ext_tw_video_thumb/1710685269253320704/pu/img/32B6bp2DCWZ2GN53.jpg
twitter,"Israeli jets level the Palestine Tower, one of the largest buildings in Gaza. 

The tower had more than 100 apartments, plus offices of media outlets. 

A clear war crime. https://t.co/QN8g0jZJFQ",2365896248,68471,"{'quote_count': 1092, 'retweet_count': 16423, 'like_count': 50956}",AlanRMacLeod,"Senior Staff Writer/Podcast Producer, @MintPressNews. I mostly tweet about US/Mid East & Lat Am. politics, but complaining about corporate media is my passion.",2023-10-07 20:03:01,https://pbs.twimg.com/profile_images/1412117139071418386/3bmc9Vk7_normal.jpg,https://twitter.com/AlanRMacLeod/status/1710747578319409410,https://pbs.twimg.com/ext_tw_video_thumb/1710746249945563136/pu/img/ut6v5pVhel0Axanj.jpg
twitter,"¿Dónde estaba el mundo cuando Gaza fue bloqueado por aire, mar y tierra durante 18 años? ¿Dónde estaba y dónde está cuando Israel masacra diariamente los palestinos? ¡Hipócritas!",1258174836175704064,47892,"{'quote_count': 439, 'retweet_count': 13775, 'like_count': 33678}",HoyPalestina,"Sitio web dedicado a informar sobre Palestina 🇵🇸 rompiendo el cerco mediático y la censura informativa impuestas sobre ella.
cuenta de respaldo @hoypalestina1",2023-10-07 14:43:43,https://pbs.twimg.com/profile_images/1577519809587298304/KaFlmD0v_normal.jpg,https://twitter.com/HoyPalestina/status/1710667223377781077,
twitter,"In Gaza:

~97% of water is unfit for drinking

~56% live in poverty

~64% of youth are unemployed

~80% are reliant on international aid

~70% are refugees

And 100% are trapped under Israeli siege, occupation, and endless bombing campaigns. The timeline didn’t begin today.",19912781,44562,"{'quote_count': 188, 'retweet_count': 10960, 'like_count': 33414}",Remroum,Poet. Author of Before the Next Bomb Drops: Rising Up from Brooklyn to Palestine https://t.co/bHGdWftD7r.,2023-10-07 18:30:38,https://pbs.twimg.com/profile_images/603685126548029440/yQaMUAyE_normal.jpg,https://twitter.com/Remroum/status/1710724329288151540,
twitter,"On @CNN with @amanpour about Israel’s attacks on our rights, land, holy places and people in Gaza and all over occupied Palestine. https://t.co/eyB2ZbOw7x",244917756,35965,"{'quote_count': 1120, 'retweet_count': 10278, 'like_count': 24567}",hzomlot,"Ambassador, Head of Palestinian Mission to the UK, former Head of PLO Mission to the US, Strategic Affairs Advisor to President of Palestine",2023-10-07 20:15:30,https://pbs.twimg.com/profile_images/1111946362839617539/Bk9zj1hE_normal.jpg,https://twitter.com/hzomlot/status/1710750718024409484,https://pbs.twimg.com/amplify_video_thumb/1710750550109650946/img/snvZGcoQL24GrzJ4.jpg
