"","filename","error","sentiment","id_of_tweet","cleaned_text.x","batch","created_at","total_interactions_count"
"1","10007.rds","content_filter",NA,10007,"For those drawing ridiculously false comparisons between the death of children in conflict  Hamas terrorists intentionally killed Israeli children. They intentionally set them on fire decapitated them took them hostage.  No Israeli is doing this to Gazan children. The",1,14,107
"2","10030.rds","","0",10030,"The most important video of this entire desperate conflict.",1,14,559
"3","10032.rds","","1",10032,"In Abu Dhabiwill engage with Emirati Presidentand Foreign Ministerabout Hamas terrorist attacks against Israel and the important role the UAE and regional partners can play in helping prevent the spread of conflict.",1,14,140
"4","10051.rds","","1",10051,"I was born in Israel in 1972 All my life Ive only known perpetual conflict with Arabs there. My family the same. I live in UK now but have been back and forth almost every year and lived there when I left high school I know the history of MY country but when I see kids aged",1,14,208
"5","10070.rds","","-1",10070,"Stop asking every Palestinian if they support Hamas",1,14,31367
"6","10073.rds","","1",10073,"Here we go again. Ilhan Qatar is back to her old habit of reposting Hamas propaganda.",1,14,16288
"7","10086.rds","","1",10086,"How Qatar is allowed to provide sanctuary for Hamas leaders like Haniyeh is ridiculous. This is a country that hosted the World Cup last year and continues to host the worlds most violent terrorists. CENTCOM has a base in Qatar. It has elite troops stationed there. They should",1,14,10857
"8","10115.rds","","1",10115,"For once I was asked a personal question onwhether I have relatives or friends killed or missing. Sadly this assault on Israel has touched every home in the country. Yet we are united focused and eager to dismantle Hamas.",1,14,3341
"9","10128.rds","content_filter",NA,10128,"Two Little Girls search for their mom after their house was targeted by Israeli warplanes in Gaza. STOP THE WAR Zionist Friday the 13th Palestinian Israel   Gazagenocide IsraelTerrorists GazzeUnderAttack Gaza  Palestine  Hamas",1,14,1109
"10","10143.rds","","-1",10143,"QATAR FUNDING HAMAS NOT IRAN We need to understand that Qatar funds Hamas not Iran. Qatar also funds Turkey and The Turks are the real power says respected U.S. Army Colonel Douglas McGregor .",1,14,772
"11","10145.rds","","-1",10145,"Thanks to Matt Gaetz and the seditious caucus America is now as vulnerable as Israel was before Hamas atrocious acts. Theis synonymous with Netanyahus incompetence. Republicans are the biggest threat to our national security. VoteBlueEveryElection",1,14,795
"12","10177.rds","","-1",10177,"Iranian Foreign Minister Hossein Amirabdollahian could be seen kissing and laughing with Hamas leader Ismail Haniyeh on Saturday night in Qatar as the war between Hamas and Israel continued.",1,14,266
"13","10202.rds","content_filter",NA,10202,"We can hit Hamas relentlessly and even burn down most of Gaza but it wont go away  Jack Khoury",1,14,262
"14","10218.rds","","-1",10218,"According to you American leftists need to drop everything to back the dems but if Palestinians don't like Hamas they should have simply built Socialism. You're fucking disgusting.",1,14,929
"15","10233.rds","","0",10233,"BREAKING According to U.S. officials in an effort to prevent Iran and Hezbollah from intervening in the confrontation between Israel and Hamas the Pentagon has dispatched a second aircraft carrier strike group to the eastern Mediterranean near Israel. According to ABC News a",1,14,174
"16","10235.rds","","-1",10235,"Mark my words  the forces that say it's ok to kill innocent Palestinian civilians because of Hamas will one day say it's ok to kill innocent Chinese because red Commies All innocents regardless of religion culture ethnicity nationality sex orientation should be protected",1,14,489
"17","10270.rds","","0",10270,"Grateful to sit at the desk with Rev and Ayman today . Keep watchingfor more special coverage of the IsraelHamas War.",1,14,361
"18","10274.rds","content_filter",NA,10274,"BREAKING State Dept At this time we can confirm the deaths of29U.S. citizens as a result of the Hamas attack Gazaunderattack  GazagenocideFreeGaza IsraeliWarCrimes IsrealPalestineconflict hamas Gaza HamasTerrorist  Isarael",1,14,61
"19","10294.rds","","-1",10294,"Moment protesters with paragliders stuck to their backs in reference to Hamas' atrocities chant 'England is a terrorist state' on streets of London",1,14,97
"20","10329.rds","content_filter",NA,10329,"BREAKING HUNDREDS were just arrested blockading 's street including high profile public officials rabbis politicians scholars and descendants of holocaust survivorsages 20 to 80. We demand an end to the genocide of Palestinians in Gaza. Never again is today.",1,14,29287
"21","10353.rds","","-1",10353,"It could be any of us any time any where while passing a street shopping sleeping driving home or even fleeing. No one is safe in Gaza.",1,14,18850
"22","10371.rds","","-1",10371,"Facebook and Instagram took down my explainer breaking down the history of Gaza as a concentration camp because it shows people or organizations deemed as dangerous... This is antiPalestinisn racism. Luckily it's still up on X. Watch the video yourself and see. One thing",1,14,11573
"23","10380.rds","","1",10380,"Lets tweet out the Hamas Charter so that the world can better understand who the Gaza Palestinians elected and continue to support as their leaders. Thread.",1,14,15017
"24","10391.rds","","1",10391,"Try to think why not a single Arab country is offering to take a single Gaza refugee...",1,14,11748
"25","10399.rds","","-1",10399,"IDF denies using white phosphorus but we atverified images of Israeli forces on October 9 near Sderot with artillery shells labelled D528  the US Department of Defense Identification Code for white phosphorusbased rounds. From Sderot northern Gaza is within range.",1,14,8961
"26","1042.rds","","0",1042,"Hasan spoke nothing but facts today on Israel  Palestine",1,7,6181
"27","10427.rds","","-1",10427,"GAZA UPDATE At time of writing the hospital is still standing. After spending part of the night in the street with bombs landing in close proximity we understand that some medical staff and all patients have been able to move...",1,14,10426
"28","1045.rds","","-1",1045,"These little children look into the eyes of armed Israeli soldiers and talk as if fear is their toy and death is their love!     Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood",1,7,2047
"29","10475.rds","content_filter",NA,10475,"These guys are chanting Khybar khybar ya yahud  calling for the murder of Jews. It never takes long for antisemitism to surface amongst pro Palestine crowds. They need to be arrested and if possible have their citizenship revoked for extremist behaviour.",1,14,12028
"30","10506.rds","","-1",10506,"This is Terrorism nothing else. I stand with the innocent People of Palestine .",1,14,5221
"31","10521.rds","","-1",10521,"approximately 100000 people came out today in London in solidarity with Palestine",1,14,7381
"32","10522.rds","","-1",10522,"What better way to spend shabbat than standing shoulder to shoulder with comrades for a Free Palestine.",1,14,6624
"33","10534.rds","","-1",10534,"do you all know how utterly insane it is that all these big brands are pledging MILLIONS of dollars to israel while the us is giving them BILLIONS for weaponry and nobody is giving palestine anything. I feel myself slowly losing touch with reality how is this genocide working.",1,14,4341
"34","10550.rds","","-1",10550,"Unpopular opinion but needs to be said Palestine will benefit more if we fill the Masaajid 5 times a day increase in istighfaar dhikr durood and tilawat rarther than filling the streets with mixed genders and breaking the fundamental principles of our Deen. Rarther pour your",1,14,4669
"35","10551.rds","","-1",10551,"The black flag with the Islamic creed popular with Islamists and jihadists was on display at the London Palestine rally today.",1,14,2537
"36","10584.rds","","-1",10584,"Kicking Off  Palestine Protesters fighting with the police on the streets of Londonmultiple arrests been made",1,14,1994
"37","10594.rds","","-1",10594,"Pro Palestine protest in front of 10 Downing Streetresidence of uk Prime Minister. Palestine PalestineLivesMatter IsraelPalestineConflict",1,14,2107
"38","10597.rds","","-1",10597,"Oh Allah! Grant your devine assistance to the people of Palestine. Ameen",1,14,2128
"39","10613.rds","","-1",10613,"Pakistanis supporting Palestine by eating the flag of Israel. Yes eating it!",1,14,1067
"40","10646.rds","","-1",10646,"London stands with Palestine. The last part interview of a Jewish woman is very important.",1,14,910
"41","10668.rds","","0",10668,"Will IsraelPalestine war lead to WW3?",1,14,1243
"42","10673.rds","content_filter",NA,10673,"This is how genocides happen. With the most powerful states in the world lined up with disinformation campaigns heralded by hate and dehumanization  enforced media blackout with the cowardice of silence with the brutality of curated algorithms with excuses gaza Palestine",1,14,870
