"","X","id_of_tweet","cleaned_text","batch","sentiment","error","created_at","total_interactions_count","keyword_israel","keyword_gaza","keyword_palestine","keyword_hamas","keyword_conflict"
"1",1,1042,"hasan spoke nothing but facts today on israel  palestine",1,0,"",7,6181,1,0,1,0,0
"2",2,1045,"these little children look into the eyes of armed israeli soldiers and talk as if fear is their toy and death is their love!     palestine palestinian israel hamas telaviv gaza gazaunderattack operationalaqsaflood",1,-1,"",7,2047,1,1,1,1,0
"3",3,1130,"peace has not existed in palestine since the beginning of the israeli occupation. what you want to return to is uncontested violence by israel.",1,-1,"",7,242,1,0,1,0,0
"4",4,1152,"willbe sending millions of taxpayers' money and millions of taxpayers' funded military vehicles to the people of israel just as they did for the pipsqueak in ukraine?",1,1,"",7,167,1,0,0,0,0
"5",5,1162,"what were the regimes calculations instriking israel today? it thinks 1. that the popular uprising in iran has been weakened 2. the biden admin isnt tough 3. israeli society is divided 4. americas political system is in disarray 5. the external iranian opposition is",1,0,"",7,146,1,0,0,0,0
"6",6,1170,"i'm a loser because i wont send my children to die for israel",1,-1,"",7,461,1,0,0,0,0
"7",7,1202,"these people saying we need deescalation are frauds. theyre not talking about hamas. theyre saying israel shouldnt respond.",1,1,"",7,110,1,0,0,1,0
"8",8,1206,"sunday goodmorning support israel",1,1,"",7,44,1,0,0,0,0
"9",9,1214,"hamas terrorists invaded israel to kill innocent israelis specifically targeting women children girls. in light of this heinous attack america must reaffirm our support for israel our strongest ally in the middle east. i stand with israel.",1,1,"",7,70,1,0,0,1,0
"10",10,1249,"breaking medvedev regarding the war between israel and palestine clashes between hamas and israel on the 50th anniversary of the yom kippur war come as an expected development. this is what washington and its allies should be busy with. the conflict between israel and",1,0,"",7,4550,1,0,1,1,1
"11",11,1290,"there is a bizarre analytical tendency to forget that the israelipalestinian conflict is decades old and rooted in real grievances. or maybe not bizarre it serves a political purpose to ignore that and blame everything on geopolitics iran wants to sabotage normalization.",1,0,"",7,2536,1,0,0,0,1
"12",12,1292,"old video shared byon israel palestine conflict.",1,0,"",7,1600,1,0,1,0,1
"13",13,1329,"so let me get this straight first this regime gives iran 6 billion which is being used to start the attack on israel and now they are defending israel during the attack? talk about playing both sides of this conflict. soon we will be sending 100 billion dollars into it.",1,1,"",7,495,1,0,0,0,1
"14",14,1347,"for generations the marxist left  arab jewish palestinian iranian italian etc  had a basic approach to the palestinianisraeli conflict recognition of the selfdetermination rights of both national communities living there. and now this. onesided hashtags w no content",1,0,"",7,1369,1,0,0,0,1
"15",15,1363,"in any conflict there are usually reasonable arguments for either side but if your reasons come through the language of resentment of victims and oppressors you are a communist and i despise you",1,0,"",7,966,0,0,0,0,1
"16",16,1401,"in 2020 vix rose for 3 days then collapsed. the timing of recent events seems suspect as it could cause a similar 3 day rise. at this point in 2020 we knew the virus was getting worse but vol was still crushed into opex. a spiraling conflict would fit this scenario perfectly",1,0,"",7,205,0,0,0,0,1
"17",17,1405,"the no campaign set up conflict in australia then blame the yes campaign for dividing the nation.this type of leadership is based on fear. howards apprentices are racist and dangerous.",1,0,"",7,69,0,0,0,0,1
"18",18,1407,"the farleft glorifies the tragedy in israel for ideological reasons. they often frame the conflict solely as a struggle against colonialism and imperialism painting israel as the aggressor and palestinians as the oppressed. this perspective aligns with their broader",1,1,"",7,81,1,0,0,0,1
"19",19,1409,"men will always use war as an excuse to rape women. it happened in every single conflict ever in human history. men are just inherently disgusting vile creatures",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,110,0,0,0,0,1
"20",20,1411,"mass mobilization into the army has been announced in israel. the country is preparing for conflict on several fronts at once. fox news special correspondent in jerusalem troy ingst reports. the idf has increased the number of reservists called up for active duty by",1,0,"",7,70,1,0,0,0,1
"21",21,1428,"i wholeheartedly agree with this statement. it effectively highlights the intricate nature of the israeli conflict and the importance of considering various factors beyond just radical islamic ideologies. acknowledging the influence of globalists and leftleaning forces in",1,0,"",7,12,1,0,0,0,1
"22",22,1445,"the five of swords in reverse marks a significant shift in the dynamics of conflict and competition in your life. when this card appears upside down it suggests that you are actively working towards resolving conflicts or disputes that have been causing tension. you are",1,0,"",7,1,0,0,0,0,1
"23",23,1454,"conflict's devastating impact knows no boundaries affecting both lives and infrastructure. it's a grim reminder of the toll of war.",1,0,"",7,17,0,0,0,0,1
"24",24,1487,"wow calm down. i think today's actions were fucking evil. i also think that the actions of the idf settlers and the israeli government has been appalling. understanding the roots of a conflict is important calling out all aggression and looking for solutions is vital.",1,-1,"",7,0,1,0,0,0,1
"25",25,1507,"tell us about the conflict when trump was in office? educate us! you comment is lame when everyone knows who pays for humas",1,1,"",7,1,0,0,0,0,1
"26",26,1509,"it's crucial to examine who may benefit from this conflict both within and beyond israel and who supports hamas covertly. we must investigate carefully but avoid premature judgments.",1,0,"",7,0,1,0,0,1,1
"27",27,1544,"brazil aims to prevent escalation of conflict lula says a statement from brazils foreign ministry reaffirmed a commitment to a twostate solution brasiliabrazil hopes to prevent escalation of the conflict betweenisrael and hamas president luiz inacio lula da silva",1,0,"",7,0,1,0,0,1,1
"28",28,1549,"the ongoing conflict in middle east is deeply troubling. while the background and interests involved are complex what saddens me the most are the innocent civilians particularly children who become casualties of political agendas. humanity is losing and the world is watching",1,0,"",7,1,0,0,0,0,1
"29",29,1579,"i dont claim to know whos on the right side in this conflict but certainly islam has a lot to do with their behavior as the entire religion is designed for dominance and warfare",1,0,"",7,0,0,0,0,0,1
"30",30,1603,"its not a conflict its colonialism.",1,-1,"",7,0,0,0,0,0,1
"31",31,1607,"the palestinian conflict is ongoing  id think other black ppl would understand this but shes biracial so ig its different. post tha screenshots of u donating sum or stfu",1,-1,"",7,0,0,0,0,0,1
"32",32,1613,"a final solution to the israelipalestine conflict.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,9,1,0,1,0,1
"33",33,1622,"remember? israel wants complete control of palestinian land un report  israelpalestine conflict news  al jazeera",1,-1,"",7,0,1,0,1,0,1
"34",34,1668,"zero chance to have iran in the conflict",1,0,"",7,1,0,0,0,0,1
"35",35,1679,"the innocent people of both sides who have zero blame for the conflict.",1,0,"",7,0,0,0,0,0,1
"36",36,1735,"israel minister of defense yoav gallant today we saw the face of evil. the hamas terrorist organization has launched a brutal attack against the citizens of the state of israel  attacking men women children and the elderly indiscriminately. hamas will understand very",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,25588,1,0,0,1,0
"37",37,1834,"stop blaming republicans. joe biden sent 6 billion to iran. which funds hamas. joe biden has blood on his hands.",1,1,"",7,1461,0,0,0,1,0
"38",38,1840,"the metropolitan police says it has increased police patrols across london after the hamas militant group attacked israel",1,1,"",7,1615,1,0,0,1,0
"39",39,1844,"they think ukraine should surrender but it's fine for hamas to attack random civilians and sexually assault women. this isn't resistance. it's barbarism.",1,1,"",7,2570,0,0,0,1,0
"40",40,1854,"i see that snps failure of a leader humza yousef  issues a statement worrying more about the people of gaza he knows than condemning the hamas attack on israel. i do hope him being a muslim isnt connected with his view.",1,1,"",7,1946,1,1,0,1,0
"41",41,1855,"the same country that created and funded isis also funds hamas as well. do you know who that is?",1,1,"",7,1164,0,0,0,1,0
"42",42,1871,"the war crimes of hamas continue...moments ago they bombed barzilai hospital in ashkelon while hundreds of wounded israeli are being treated from the terror attack this morning! inhumane",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,631,1,0,0,1,0
"43",43,1884,"i really dont see how solidarity with the palestinians includes a positive opinion of hamas actions that bring death and destruction down upon palestinians. doesnt look like wanting better lives for palestinians. just looks like celebrating violence against israelis.",1,1,"",7,482,1,0,0,1,0
"44",44,1895,"residential palestine tower in the heart of gaza city targeted in direct hit on live tv by israel.",1,-1,"",7,32148,1,1,1,0,0
"45",45,1914,"palestinian terrorists have attacked israel on a jewish holy day. because israel has never bombed gaza in ramadan and eid.",1,1,"",7,22196,1,1,0,0,0
"46",46,1917,"why doesn't the eu commission presidentever condemn the apartheid state of israel for turning gaza into an open air prison of 2 million people..? does she think the palestinians have no right to resist israeli terrorism..?",1,-1,"",7,14340,1,1,0,0,0
"47",47,1937,"buildings in the iraqi capital baghdad are decorated with the palestinian flag. gaza",1,-1,"",7,16388,0,1,0,0,0
"48",48,1960,"just because you're an aoc wannabe doesn't mean you're obliged to be an airhead trying to free 1000000 children who have been held hostage in gaza for nearly two decades is according to ilhan omar senseless violence.",1,1,"",7,6835,0,1,0,0,0
"49",49,1974,"alquds brigades publishes scenes of the storming of a number of military sites and settlements around the gaza strip as part of the alaqsa flood battle.",1,-1,"",7,1786,0,1,0,0,0
"50",50,1977,"israeli lawmaker from ruling party is proudly calling for a nakba in gaza a literal call for genocide! in the process mk ariel kallner admits israel's responsibility for the 1948 nakba where 400 palestinian villages were wiped out  700000 palestinians were made refugees...",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,973,1,1,0,0,0
"51",51,1978,"palestinian photojournalist mohammed lafy killed in gaza by israeli airstrikes  israelis are a killing machines nothing else",1,-1,"",7,895,1,1,0,0,0
"52",52,2041,"damage caused by israeli airstrike in gaza moments ago",1,-1,"",7,889,1,1,0,0,0
"53",53,2042,"whatever happens in this round of the israelgaza war we already lost",1,-1,"",7,218,1,1,0,0,0
"54",54,2063,"breakinga palestinian bulldozer removing the separation wall on the gaza strip border.",1,-1,"",7,53741,0,1,0,0,0
"55",55,2107,"initial report dozens of fighter jets of the israeli air force are now attacking targets of the terrorist organization hamas in the gaza strip in several locations more details to follow.",1,1,"",7,16329,1,1,0,1,0
"56",56,2138,"its more complicated than that you wish! palestinian liberation is one of the most morally clearcut causes you could find if you know the history. palestinians lived in palestine european zionists violently colonized it displaced them  imposed a brutal 56year occupation.",1,-1,"",7,100568,0,0,1,0,0
"57",57,2163,"raise your hand if you stand with palestine!",1,-1,"",7,39687,0,0,1,0,0
