"cleaned_text","created_at","total_interactions_count"
"Im a Jewish guy who had my Bar Mitzvah in Jerusalem and went on Birthright. I lived in Palestine for 3 years including 7 months in Gaza. I 100 support Palestinian resistance. No one can defeat me in a debate on Zionism and Palestinian resistance.","07",196922
"Chairman Imran Khan has been and will always remain an advocate for the Palestinian cause. He has consistently maintained his stance that oppression occupation and peace cannot go hand in hand. From the first Nakba in 1948 to inhumane treatment and the siege of Gaza","07",136977
"Noa was partying in the south of Israel in a peace music festival when Hams terrorists kidnapped her and dragged her from Israel into Gaza. Noa is held hostage by Hamas. She could be your daughter sister friend. BringBackOurFamily","07",101345
"NEW Israel PM Benjamin Netanyahu tells Gaza residents to GET OUT NOW as he vows to use all IDF capabilities to destroy Hamas. We will win this war but the price will be unbearably heavy. Hamas wants to murder us all Netanyahu said. Murdering children and mothers in","07",109220
"BREAKING The woman whose body was seen on video in the back of a pickup truck driven by Palestinian terrorists to Gaza has been identified. 30yearold Shani Louk was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence.","07",89379
"Israeli jets level the Palestine Tower one of the largest buildings in Gaza. The tower had more than 100 apartments plus offices of media outlets. A clear war crime.","07",68471
"In Gaza 97 of water is unfit for drinking 56 live in poverty 64 of youth are unemployed 80 are reliant on international aid 70 are refugees And 100 are trapped under Israeli siege occupation and endless bombing campaigns. The timeline didnt begin today.","07",44562
"Onwithabout Israels attacks on our rights land holy places and people in Gaza and all over occupied Palestine.","07",35965
"Israel is now flattening entire highrise residential buildings in central Gaza that have ZERO security value! These are called power targets  collectively punishing the Gazan population...","07",33528
"Israel just got exposed LIVE by bombing a residential building in Gaza City.","07",27442
"Residential Palestine Tower in the heart of Gaza City targeted in direct hit ON LIVE TV by Israel.","07",32148
"Leave now? To quote the greaton the  What are Gazans supposed to do? Evacuate to where? Have you fcking seen Gaza? What are they supposed to do swim for it?","07",36373
"This evening the foreign office contacted his counterparts in Iran Iraq and Jordan asking for permission for our men to cross their sovereign territory on their way to the holy land. We are preparing and hoping for the good news from our neighbours. Gaza Israel Palestine","07",38001
"This morning Hamas terrorists captured dozens of civilians including this mother with her two innocent young daughters aged 2.5 and 4.5 years old. They are currently being held as hostages in Gaza by Hamas. I urge world leaders to take immediate action and demand their","07",21693
"I have spoken to President Herzog and Prime Minister Netanyahu. I condemn the attacks carried out from Gaza on Israel its soldiers and its people. France stands in solidarity with Israel and the Israelis committed to their security and their right to defend themselves.","07",53535
"Israeli forces strike a residential tower in Gaza while AlJazeera is live on air.","07",24628
"Sickening.president criminally giving Israel carte blanche for the spectacle of shocking violence it will now unleash against desperate civilians caged in Gaza dressed up as selfdefence. Endorsing a massacre. Unforgiveable thuggery. She does not speak for us.","07",27867
"The woman whose body was seen on video in the back of a pickup truck driven by Palestinian terrorists to Gaza has been identified. 30yearold Shani Louk was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence. RIP Shani","07",34381
"You cant speak about Gaza without mentioning 2 mio Palestinians imprisoned 95 of water undrinkable 4h of electricity per day 45 unemployment 52 of youth expressing no will to live You cant speak about Gaza without mentioning decades of Israeli tyranny and terror.","07",25467
"Dont be distracted by all the names you hear HamasIranPalestineGaza these are just its faces. Its all Islam.","07",28580
"Israeli police forces arrested several Hamas terrorists who infiltrated Israel from Gaza. Salute the brave defenders of Israel.","07",32155
