id_of_tweet,cleaned_text,sentiment
1,Thread Day two of online misinformation about the IsraelHamas conflict This video viewed 1.3 million times falsely claims to show senior Israeli generals captured by Hamas. It actually shows the arrest of Karabakh separatist leaders by Azerbaijan's security service.,0
2,The fact that Israel can just cut off electricity to Gaza at any moment is a good primer about the conditions in Palestine that led to the current resistance.,-1
3,When a murderous occupation makes peaceful resistance impossible it makes violent resistance inevitable. Israel FreePalestine EndApartheid,-1
4,The recent happenings in the IsraelPalestine conflict have confirmed that the first casualty in war is truth. The IsraelPalestine conflict has been on for decades. And if you are trying to understand the origin of the whole conflict this thread is for you.,0
5,It cheapens the concept of antisemitisma real global cursefor defenders of the Israeli government to pretend that it is somehow antisemitic to hold Israel to the same standards of international humanitarian law as we use to assess Hamas's conduct. A war crime is a war crime.,-1
6,A new axis of evil has arisen RussiaIranNorth Korea. Their latest project is Hamas's attack on Israel. The best Israel had better finally choose side.,1
7,The full scale of the brutality of the Hamas terror attack leaves us breathless. Defenseless people brutally murdered in cold blood on the streets. We stand strong with Israel and its people. Today the EU and Israeli flags fly side by side.,1
8,HUGE Big blow to Al Jazeera. Israel demolishes AlWatan Tower in Gaza. The building was a hub for several international media outlets including Al Jazeera Associated Press other Pro Palestine media Al Aklauq tower also demolished. Israel is now unstoppable. Netanyahu,-1
9,Israel is experiencing its own 911. There is no both sides to this attack. Hamas is a terrorist group mass murdering hundreds of innocent Israelis and taking women and children hostage. The U.S. must stand ready to provide Israel with the support it needs to defend itself,1
10,Republicans Are holding up the nominee for ambassador to Israel Are holding up over 300 military officials. Dont even have a Speaker meaning the House is stalled They are causing chaos.,0
11,Allahu Akbar! Just now outside of Toronto Hamas supporters are out celebrating the recent terror attacks in Israel that have left 300 dead.,1
12,Israel's battle is your battle.,1
13,Hamass surprise terrorist attack by air land and sea is Israels 911. Losing 600 Israelis is the equivalent of losing about 20000 Americans. If you murder wound rape and abduct civilians and children as Hamas has done you are not a militant.You are a terrorist.,1
14,You cant send 6 billion dollars to Iran and pretend to stand with Israel. Impossible.,0
15,IsraelPalestine isn't a complex conflict. Was Vietnam complex? Was independence of African states complex? Palestine is a colonized nation. Freedom means full decolonization full stop.,-1
16,That's from algeria. Neither from Israel nor Palastine.,0
17,The Biden administration has been enriching Iran from Day Onelifting restrictions and stopped enforcing sanctions. This atrocity against Israel wasnt just predictableit was predicted.,1
18,We are doing our best to keep all of you updated Just know we are doing the best we can. Our hearts are broken but we are strong.,0
19,Celebrations are going on in Iran. No they dont have any festival today nor theyve won any olympics medal theyre celebrating the brutal kiIIing of innocent people of Israel. This isnt about territory but religion..,1
20,JUST IN Its now being reported that Officers from Irans Islamic Revolutionary Guard Corps have been working with HAMAS since August to train terrorists for their complex attack on Israel which involved assaults from the air land and sea. Today the President of Iran,1
21,taeyong said fuck israel,-1
22,Full support to Israel from India,1
23,Israels speciality Terrorizing Palestinian kids.,-1
24,I would bet all the coffee I will ever be able to consume the rest of my life that Hamas was able to carry out such a well planned attack on Israel because of information Donald J Trump sharedsold to others. By the way Americans are confirmed among the dead in Israel.,0
25,TEL AVIV Israeli people donate food and goods for the IDF soldiers deployed. Am Yisrael Chai.Israel,1
26,. onjust asked the key question behind US moral relativism Why is the US supporting Ukraine fighting against Russias occupationyet supports Israels occupationethnic subjugation of Palestinians for the last 57 years?,-1
27,The road in Re'im Israel. A music festival was held there. Hamas terrorists encircled it and opened fire on civilians. Media report that Hamas shot people loaded wounded on pickup trucks and took them to Gaza. They killed heavily wounded and chased after those who tried to run,1
28,Hamas started a war against Israel with the worst massacre of innocent civilians in Israels history. We paid a heavy price but we will restore security to the people of Israel. Full statement from,1
29,Ilhan Omar AOC Cori Bush Rashida Tlaib and the entire SQUAD should be expelled from Congress for their hateful rhetoric towards Israel.,1
30,Thousands of Germans gather in Berlin to show solidarity with Israel. They sang the national anthem of Israel. This makes me emotional. THANK YOU.Israel,1
31,obsessed with jamie lee curtis posting a photo of palestinian children in gaza being terrorized by israel as a way to show support for israel. yall cant even be wrong right,-1
32,Israel Israelunderattack IndiaStandsWithIsrael IsraelAtWar,1
33,She wasn't murdered raped or abused. Footage showed her moments later safe in Gaza. She was taken captive as a bargaining chip to free 1000s Palestinians whom Israel detains without charges evidence or trial aka administrative detention. Both violate int. law!,-1
34,We. Will. Never. Lose. Hope.,0
35,Jamie Lee Curtis makes post in support of Israel with photo of Palestinian children as specified by the photographer herself.,0
36,Israel is the occupier. Palestine is the occupied. No ifs ands or buts.,-1
37,Let me say this as clearly as I can. This is not a moment for any party hostile to Israel to exploit these attacks to seek advantage. My Administrations support for Israels security is rock solid and unwavering.,1
38,Hamas apparently knew how to get around Israels Iron Dome defenses. They probably learned this from Iran. Iran almost certainly got the information from Russia. And who gave it to Russia? Sure looks like it was Donald Trump at the request of Putin,0
39,Justice justice we shall pursue. We will find each and every one of the Hamas animals who did this.,1
40,You can see their injuries hear their cries and feel them trembling from fear as these children are held hostage in their own homes by Hamas terrorists and their parents lie there dead in the next room. These are the terrorists that we are going to defeat.,1
41,Hamas murders Jewish babies in their beds. Media It must be the occupation. Hamas digs up water pipes and uses them for rockets. Media Water shortages are Israel's fault. Hamas stations civilians in direct line of fire. Media Why won't Israel protect civilians?,1
42,The Flotilla 13 elite unit was deployed to the area surrounding the Gaza security fence in a joint effort to regain control of the Sufa military post on October 7th. The soldiers rescued around 250 hostages alive. 60 Hamas terrorists were neutralized and 26 were,1
43,I think we're done taking dictates from organizations around the world what we should or shouldn't do in Gaza. We're going to dismantle Hamas and get our people home and I hope Gazan civilians will evacuate the North. As told on,1
