"cleaned_text","created_at","total_interactions_count"
"gigi and bella opening instagram to see all their close friends showing support for israel","07",194060
"Im calling on Joe Biden to be charged as a War Criminal.He recently gave Iran 6 billion dollars and now Israel is under attack.He knew what would happen The military needs to remove him from the White House! Biden cant even answer question because hes guilty. Biden is","07",63440
"Let me say this as clearly as I can. This is not a moment for any party hostile to Israel to exploit these attacks to seek advantage. My Administrations support for Israels security is rock solid and unwavering.","07",93220
"Someone ask Kylie Jenner to point to Israel on the map","07",107720
"Reminder that Republicans at this moment are holding up the appointment of 300 senior Pentagon officials and the next Ambassador to Israel. We also lack a Republican Speaker of the House to pass additional support for Israel. All of these things might be useful right now.","07",24779
"The woman whose body was seen on video in the back of a pickup truck driven by Palestinian terrorists to Gaza has been identified. 30yearold Shani Louk was a German citizen visiting Israel to attend the music festival for peace held near the Gaza border fence. RIP Shani","07",34379
"The same team telling you their 6 Billion to Iran isnt helping fund a war against Israel is the same team telling you the border is closed. The media lets them get away with these lies.","07",22414
"We have over a dozen sitting Members of Congress who side with the Hamas terrorist group instead of our peace seeking ally Israel. Theyre all Democrats.","07",21439
"Kylie Jenner has deleted an Instagram story showing support to Israel.","07",110470
"Kylie Jenner wouldnt know where the Middle East is on a map but is letting her 400 million Instagram followers know she stands with Israel. I fear the silicone has leaked into her brain!!","07",33630
"When Israel bombs the fuck out of Gaza which it should for however long it takes remember that Egypt which shares a border with Gaza wont let one Palestinian in. Actually theyve bombed the border and flooded tunnels to keep their Palestinian brothers out.","07",27112
"A LOT Of People Are Blaming Joe Biden For Whats Happening With The Israel  Hamas Palestine War  Arming Those Who Chant Death To America But REMEMBER Biden Is NOT In Control BOTH US Press Secretaries confirm that Joe Biden is not the President of the United States making","07",11705
"absolutely crazy to see kylie jenner supporting israel while her friend bella hadid has been advocating for palestine for YEARS like i'd be sick to my stomach","07",50313
"Netanyahu bears responsibility for this IsraelGaza war","07",13790
"If Palestinians stopped doing x Israel would... Continue to occupy Gaza Continue to expand illegal settlements Continue to facilitate apartheid Continue to beat torture maim and murder Palestinians Whether or not Palestinians respond to Israeli oppression it continues","07",12757
"Latest numbers 300 Israelis killed 1500 wounded 3000 rockets fired into Israel Dozens of Israeli soldiers and civilians taken hostage and now are POWs in Gaza 252 Palestinians dead 1000 wounded The war continues at this hour.","07",10719
"Hamas to my great regret is Israels creation. These are the words of Avner Cohen a former Israeli religious affairs official who worked in Gaza for decades. As you watch the death and destruction that is currently unfolding in Israel and Palestine it's important for you","07",9757
"Republicans told a lie so big that even Fox had to refute it because they know none of the 6B of Iranian money being held in Qatar was used to attack Israel. Murdoch and company lost a billion already. They're trying not to lose as much as Iran.","07",10691
"Out of the 180 taken as political hostages in Gaza more than 140 are official soldiers or police. Armed forces for an illegal occupation. Out of the 4000 Palestinian political captives Israel has most are held without trial or charge and noncombatant civilians.","07",8158
"You tell me who you want sitting in the Situation Room... President Biden Today the people of Israel are under attack orchestrated by a terrorist organization Hamas. In this moment of tragedy I want to say to them to the world and to terrorists everywhere The U.S.","07",11789
"The Israeli military giving civilians in Gaza very specific evacuation instructions. Telling them to move deeper into the strip in multiple areas. It appears Israel will soon start a heavier ground andor air response.","07",11976
"To feminists supporting Israel you are not a feminist if you support IDF raping Palestinian women girls  murdering them","07",10875
"Ive NEVER seen ppl in the history of man kind ever lift anyones balls the way some Indians do on here with Israel  Israel still doesnt want anything to do with them LMFAAAAAAAAO. Sir this sir that how about you SIIIRRTFU.","07",10704
"If this had been in reverse the Arab mother cradling her children would probably have just been shot by the Israeli soldiers. As has been the case many many MANY times before. Israel is no authority to lecture others on human rights or rules of war. Palestine Israel","07",5356
"the palestinians who were opressed by israel for last 75 years started defending themselves and attacked their oppressors most people who support israel rn didnt give a shit about palestinians getting murdered tortured and deprived of basic rights","07",8609
"Whats happening in Israel is horrifying. I pray every day that nothing like that be allowed to happen here in America ever again. There are a lot of bad people looking to take advantage of our open border. Its time we push aside partisan politics and defend America before","07",8073
"As we watch this horrible situation unfold Americans must face the truth elected Senators likeare ignorant misinformed  will lie for political purposes putting Israel at further risk.If like me you truly support Israel STOP LISTENING TO THE LIARS!!!","07",6169
"New York City has the largest Jewish population in the world outside of Israel and we stand side by side with Israel every daybut we do so with extra resolve tonight.","07",13329
"Im not fighting in Israel unless its to take back the Kingdom of Heaven","07",13421
"BREAKING Israel Prime Minister Benjamin Netanyahu says security cabinet has approved decisions to destroy the military and governmental capabilities of Hamas and Islamic Jihad in Gaza. Israel to immediately stop supply of electricity fuel and goods to the Gaza Strip.","07",7690
"I see my daughter when I look at you ShaniLouk. This is Shani. She was 30 a German citizen attending a music festival in Israel. My daughter is 25 and seeing Shani affected me very badly. Say her name. It could very well be my daughter. It could be your daughter. She is","07",7222
"Hamas supporters continue to gather on the streets of London to celebrate today's attack against Israel","07",4573
"Israeljust terrible stuff happening right now and my prayers with them!!","07",20938
"Just spoke with Israeli Ambassador Michael Herzog about the horrific attacks on Israel. America stands with the people of Israel and we are working together to support safe travel in the region.","07",9298
"This is but a handful of young women in Israel who are missing and feared to be kidnapped or killed by Hamas in the past 24 hours.","07",3355
"What is happening in Israel is not ok. It is horrific. Horrendous. Outright barbaric. What has been happening to Palestine under occupation is not ok. It is horrific. Horrendous. Outright barbaric. The way to right this starts with believing both those statements to be true.","07",5247
"Did Israel bombing the USS Liberty aid America's safety and prosperity?","07",6507
"Israel withdrew from Gaza in 2005 for the promise of peace. My uncle was one of many forcibly kicked out of his home only to allow terrorists to take over. And now theyre using those same houses to rape kidnapped Israeli girls. No more broken promises.","07",4504
"WATCH President Trump was in Iowa campaigning today. During his speech he commented on the Islamic terrorist attacks in Israel. He said The Israeli attack was made because we are being seen as weak and ineffective and with a really weak leader. Hes right! Trump2024","07",3846
"Among those I met at Israels Soroka hospital was an old professor of mine from Brandeis University Ilan Troen. His daughter and her husband were killed in their home by Gaza gunmen. He says they flung themselves over their teenage son saving him.","07",3120
"Largescale celebrations have begun across the Middle East following Gaza's unprecedented attack on Israel. Yemen Iraq Turkey and Iran are among the countries reported with a significant turnout. Gaza Palestine","07",3770
"IDF soldiers on their way to fight in the war. They try to keep high morale. May God keep them safe. Thank you for defending Israel.","07",5958
"Hasan spoke nothing but facts today on Israel  Palestine","07",6181
"Israel just experienced the worst terrorist attack in its history. We have pictures and videos of families being gunned down on the street. The entire country was terrorized by rockets all day. If you can't condemn that unconditionally you're better off saying nothing.","07",5835
"This is what I think about Standing with Israel Standing with Ukraine Standing with Taiwan and any other fucking war. NOT OUR JOB. If you keep allowing yourself to be propagandized pretty soon we'll be in WWIII scrambling for shelter from the nukes headed our way.","07",3231
"These little children look into the eyes of armed Israeli soldiers and talk as if fear is their toy and death is their love!     Palestine Palestinian Israel Hamas TelAviv Gaza GazaUnderAttack OperationAlAqsaFlood","07",2047
"BREAKING Reuters reports that Israel's government decides to destroy military and governmental capabilities of Hamas and allied factions in Gaza","07",4116
"Palestinians in London are cheering on the Hamas attacks in Israel.","07",3163
"Sound on. Earlier today on the way to the IsraelGaza border.","07",4190
"US President Biden approves emergency military aid package to Israel worth 8 billion. Just right after giving 6 Billion to Iran  as we Fund the Ukraine proxy war and at the same time buy our Oil from Russia  funding all sides of all warsWhilst leaving our borders scraping for","07",2759
"Welcome to London where terrorists are celebrated. Israel Hamas Palestine Palestinian IronDome Gaza TelAviv","07",2155
"Republicans who love Israel so much never confirmed Bidens totally vanilla ambassador to Israel because theyre a cult","07",1902
"I'm going to go ahead an say it. This shit both Ukraine and now Israel would NOT be happening if Trump was president.","07",7032
"Can we agree that all attacks on Democracy are bad? Whether it be Russias attack on Ukraine Hamas attacking Israel or Trump sending his mob to attack Congress.","07",3686
"BREAKINGPM Netanyahu Security cabinet meeting has decided to bring about the destruction of the military and governmental capabilities of Hamas and Islamic Jihad in a way that will negate their ability and desire to threaten and harm the citizens of Israel for many years","07",2585
"Gaza facts Gaza is ruled by Hamas which executes dissidents without trail Gaza's water and electricity is provided by Israel for free Gaza's power plant is the frequenttarget of Hamas so they can play the victim card for fools like Alex Actually 17 years of war as Hamas","07",2396
"You still havent held Israel accountable for their murder of Shireen Abu Akleh.","07",2798
"The war against Israel is just that. There is no nuance or complication. Hamas are demon possessed terrorists who hate Jews and are simply trying to kill as many Jews as possible. The stateless Arabs in Gaza  the West Bank are descendants of refugees of an Arab war against","07",3019
"Might be a good time for Republicans to stop holding up the appointments of the US ambassador to Israel and 300 Pentagon officials. They are literally imperiling our national security.","07",2392
"If you think Israels Intel and Security Forces were caught by surprise you need to unplug for the MSM. Isreal was sabotaged and it happened because of corruption within Isreal. Identify the traitors who worked with HAMAS. Hint when you fond the traitor youll find other","07",2407
"BREAKING Mark Esper the former U.S. Secretary of Defense called the Palestinian surprise attack on Israel an intelligence failure and suggested it will have a lasting ripple effect. I was a surprise it caught the Israelis completely off guard and you cant say anything","07",2668
"I picture a dead Arab and that makes me happy Israel teaches its kids to hate and to want to kill as many nonJews as possible","07",1961
"Turkish Foreign Ministerand I discussed Hamas attacks on Israel. Israel has the right to defend itself rescue any hostages and protect its citizens.","07",3261
"You are such a coward and liar. Not one dime of that money has been given to Iran. You could have just said you support Israel but you had to get a pathetic political lie in Just shut the fuck up next time.","07",4300
"There Are 2 Groups In Israel The one with good kind hearted everyday people and then theres the Cabal When the US Government says they Stand with Israel they dont mean The People. This is what they mean There was a real poll done  16000 people were polled in 16","07",1393
"That something like this could happen in Israel is horrific incompetence at best and at worst egregious corruption. Blame Hamas terrorists all you want. Evil lives to inflict evil. That is presumably what the government is protecting Israeli citizens from. But a government","07",3342
"just a reminder that evangelicals only support israel because they think it will make jesus come back to save christians","07",2732
"Netanyahu tells the people of Gaza to leave. We will turn all the places that Hamas hides in and operates from into rubble. But the people of Gaza have nowhere to go. That's the problem to begin with. Gaza is an openair prison whose borders are controlled by Israel.","07",1445
"Is Iran backing Hamas? They will get an idea after attacking Israel and try to attack America. We know the border is wide open and Iran has wicked ideas prophesied. Keep praying. Don't be ignorant of the fact of the enemy planning something through our border. You MUST","07",1452
"It's painfully clear that  with his total support for Israel is NOT a peace candidate. His owncampaign manager  once called for Israeli leaders to be taken to the International Criminal Court for their continuous attacks on Gaza.","07",1594
"Lets be clear  I dont give a fuck about how many followers I have and how many I upset with this tweet. I totally support Israel and any Palestinian terrorist sympathisers can fuck off right now right fast","07",2809
"I think I'm just blocking the worthless cunts who think I need to have an indepth discussion about the situation in Israel and Palestine before I can simply state RAPING AND MURDERING PEOPLE IS FUCKING WRONG YOU BARBARIC SHIT STAINS. What we've seen today is not just the death","07",5102
"Israel continues to strike the Gaza Strip At the same time Hamas spokesman Abu Obeida said that the number of hostages we have is many times more than Netanyahu says. Meanwhile Hezbollah a Lebanese terrorist group allied to Iran Syria and Hamas said it was ready to","07",1705
"Kylie Jenner has deleted her post showing support to Israel.","07",11545
"Do not retaliate was the official position of the United States under Joe fucken Biden The biggest threat to the national security of America and Israel is Joe Biden FJBiden","07",1458
"Laura Loomer calls for Gaza to be flattened into a parking lot. These Zionists are bloodthirsty and will do anything to create Greater Israel. If you lived in an open prison with walls where the hell are you supposed to escape to in 48 hours?","07",1330
"I really hope Bella Hadid and does something like this with Kylie Jenner and all their friends who are supporting Israel!!","07",3660
"Palestinians suffer extreme water shortages because ofIsrael's apartheid practices","07",1028
"When will the CIA come out and explain how they missed the attack on Israel ? I guess the CIA is only good for rigging elections","07",1106
"There is no mention of occupation no calls for deescalation and given the political climate in Israel its hard to see this as anything other than giving Netanyahu the green light to raze Gaza to the ground.","07",2515
"Its spread that a proPalestine German girl was captured while attending a festival Checking her IG we find that she is An Israeli Settler. Check  Her Israeli passport In Israel since 2016 Speaking Hebrew We sympathize with the oppressed not the European settlers.","07",1570
"Me unfollowing every celebrity every person I know going against Palestine and supporting Israel instead. Uneducated for real. All of sudden people want to have hearts but where was all this mercy when Palestine was getting terrorized and still are?","07",1861
"RT if you stand with Israel during these difficult times. Let the people of Israel know that they are not alone.","07",725
"Funny how all those blaming Israel for having a closed border with terroristrun Gaza are incredibly silent about Egypts closed border with pAlEsTinE.","07",2009
"In order for Israeli and US intelligence to fail so massively the enemy would have to know what intelligence capabilities the US and Israel have in order to avoid detection. How could they have gotten such highly protected secrets?","07",1253
"Pray for Israel. Pray for peace. Israel","07",1890
"An Israeli soldier of Druze heritage issues a threat to Hamas in Arabic. It's important for Israel to show that they are not against all Arabs in Israel Palestine or the region but that they are rather focused on Hamas and other combatants.","07",1764
"BREAKING Palestinian rocket strikes the Barzilai Hospital in Ashkelon Israel","07",938
"Dont let war in Israel distract from BOOGER GATE! Installed Biden eats boogers. Why did Katie Hobbs install this clown who funds terrorists like Hamas Cartels on the porous Border and","07",680
"BREAKING  ISRAEL ATTACKS FROM WHITE HOUSE PERSPECTIVE President Biden White House was alerted to the rocket attacks in Israel around 230 a.m. EST a senior US administration official said during a briefing to the media moments ago. The official said President Biden has been","07",1626
"Statement on the escalated Israel  Palestine conflict from Libertarian National Chair As libertarians we hate to see the tragedy and suffering of war. We believe the United States has no business involving itself in foreign entanglements including conflicts","07",1513
"Americas prosperity safety and stability is tied to the existence of Israelunlike Ukraine Afghanistan or any other country the US is currently involved in assisting militarily or otherwise. For anyone saying that America should just stay out of it you just dont get it.","07",3307
"No American leader should struggle to say We Stand With Israel.","07",2056
"Although Im praying for the hostages I do not believe any of them will ever be seen alive again. Hamas has taken them thinking Israel will not attack because of the hostages. I think Israel must remove Hamas from the face of the earth. If not they will strike again. Israel has","07",833
