"cleaned_text","created_at","total_interactions_count"
"Im a Jewish guy who had my Bar Mitzvah in Jerusalem and went on Birthright. I lived in Palestine for 3 years including 7 months in Gaza. I 100 support Palestinian resistance. No one can defeat me in a debate on Zionism and Palestinian resistance.","07",196486
"The human cost of the IsraeliPalestinian Conflict deathsinjuries documented by the UN 2008 Palestine  3202 Israel  853 2009 Palestine  7460 Israel  123 2010 Palestine  1659 Israel  185 2011 Palestine  2260 Israel  136 2012 Palestine ","07",136337
"Pray for Palestine","07",175638
"Free Palestine Free Guam Free Haiti Free Puerto Rico Free Hawaii Free every and all oppressed people who have been subject to imperialism and colonization and have had to fight tooth and nail to keep their land and their right to live there. We WILL be free!","07",100228
"They never show you this map on the news. That's because it provides the crucial context necessary to anyone wanting to understand the IsraelPalestine situation.","07",90112
"What is happening in occupied Palestine is a response to weeks and months and years of daily Israeli military invasions into Palestinian towns killings of Palestinians and the very fact that millions of Palestinians in the Gaza Strip are besieged under Israeli blockade.","07",73875
"Its Palestine. Theres no such thing as Israel.","07",41687
"Israeli jets level the Palestine Tower one of the largest buildings in Gaza. The tower had more than 100 apartments plus offices of media outlets. A clear war crime.","07",68351
"Asim Munir should at least release Imran Khan for a day to make a speech reflecting Pakistan's and the wider Ummah's sentiments on Palestine. At the moment all we have is Erdogan talk of restraint from all parties and Bin Salman monitoring the unprecedented situation.","07",56833
"Its more complicated than that you wish! Palestinian liberation is one of the most morally clearcut causes you could find if you know the history. Palestinians lived in Palestine European Zionists violently colonized it displaced them  imposed a brutal 56year occupation.","07",100568
"I've just been watching the appallingly onesidedcoverage of the situation in Palestine. So here's a few notes to the corporate media. 1. Israel is in breach of international law 2. Palestinians are fighting to liberate their homeland from 75 years of Israeli","07",53270
"It's always free Palestine until the Palestinians try to do exactly that lol","07",81666
"If you can look at the situation in Palestine and not be on the side of Palestinians then you are on the wrong side of apartheid and history will show that in time","07",112141
"Free Palestine today tomorrow and forever","07",51187
"These are the innocent Palestinian civilians cheering to the public display and lynching of Israeli victims of the terror attacks. These are the people you support when you say Free Palestine next to the pronouns in your names...","07",47496
"The unfolding events in Israel and Palestine are deeply alarming. We need an immediate ceasefire and urgent deescalation. And we need a route out of this tragic cycle of violence ending the occupation is the only means of achieving a just and lasting peace.","07",81657
"Footage of Israeli settlers escaping Palestine because they can. Most of these settlers have multiple passports they have freedom of movement to enter and leave the land they occupy. Keep in mind when the Israeli state bombards and terrorises Palestinians have nowhere to go.","07",52877
"Me and all my bitches support Palestine. Me and the girls wil never support genocide. Me and the girls will be there for the fall of Israel","07",70069
